48 Alpine St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
30 Adams St,7,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Rogers Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
94 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
106 Porter St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
16 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
112 Central St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
8 Ames St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
8 Porter St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
125 Boston Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
40 Linden Ave,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
67 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
39 Partridge Ave,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
296 Highland Ave,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
254 Highland Ave,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
301 Lowell St,14,Somerville,MA,2145,,,,,,,,,,,,,,,,,
53 Adams St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
25 Linden Ave,13,Somerville,MA,2143,,,,,,,,,,,,,,,,,
41 Spencer Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
296 Highland Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
90 Central St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
72 Alpine St,A A,Somerville,MA,2144,,,,,,,,,,,,,,,,,
425 Broadway,10,Somerville,MA,2145,,,,,,,,,,,,,,,,,
185 Lowell St,1R,Somerville,MA,2144,,,,,,,,,,,,,,,,,
471 Medford St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
14 Murdock St,6-Feb,Somerville,MA,2145,,,,,,,,,,,,,,,,,
433 Broadway,63,Somerville,MA,2145,,,,,,,,,,,,,,,,,
95 Pearson Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
460 Medford St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
737 Somerville Ave,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
62 Elm St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
71 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
33 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
71 Hudson St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
100 Central St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
8 Henderson St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
41 Vernon St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
169 Cedar St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
47 Linden Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
50 Bartlett St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
73 Pearson Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
153 Hudson St,#1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
26 Pearson Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
785 Somerville Ave,3,Somerville,MA,2143,,,,,,,,,,,,,,,,,
81 ROGERS Ave,,,MA,2144,,,,,,,,,,,,,,,,,
606 Broadway,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
10 Roberts St,13,Somerville,MA,2145,,,,,,,,,,,,,,,,,
239 Summer St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
85 Hudson St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
11 Willow Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
43 Adams St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
30 Trull St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
37 Josephine Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
3 Linden Ave,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
